,#,선수명,팀명,승,패,세,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR,기록년도,플레이어 id,완투,완봉,타자,안타,홈런,실점,자책,삼진,볼넷,고4,HBP,폭투,보크,PK,삼진%,볼넷%,삼/볼,피안타율,피출루율,WHIP
438,79,정용생,삼성,0,3,0,10,3,28.0,2.25,5.46,0.96,0.350,59.80,7.71,-0.95,5.33,5.19,-0.37,1988,2286,0,0,129,38,3,25,24,7,17,2,1,4,1,0,5.4,13.2,0.41,0.349,0.433,1.96
439,80,박정현,태평양,0,1,0,6,2,18.7,3.86,3.86,1.93,0.339,61.20,7.71,-0.65,6.10,6.11,-0.41,1988,1862,0,0,86,25,4,17,16,8,8,0,2,0,0,0,9.3,9.3,1.00,0.338,0.402,1.77
440,81,김강익,OB,0,1,0,6,2,15.3,1.76,2.93,2.35,0.220,76.40,5.28,-0.07,6.77,6.56,-0.46,1988,1564,0,0,63,15,4,9,9,3,5,0,0,0,0,0,4.8,7.9,0.60,0.263,0.323,1.30
441,82,배경환,태평양,1,7,0,13,11,52.3,3.10,3.96,1.55,0.262,59.90,6.71,-0.84,5.51,5.44,-0.50,1988,1892,1,1,238,57,9,40,39,18,23,1,1,1,1,0,7.6,9.7,0.78,0.275,0.343,1.53
442,83,김일부,태평양,2,4,2,23,7,72.0,4.88,4.25,1.25,0.278,75.30,4.38,0.08,4.85,4.97,-0.53,1988,1672,0,0,312,70,10,38,35,39,34,1,7,1,0,0,12.5,10.9,1.15,0.264,0.348,1.44
443,84,양일환,삼성,1,2,0,10,4,29.3,3.07,4.60,1.23,0.302,54.30,8.90,-1.29,6.08,6.02,-0.62,1988,2017,1,0,145,36,4,30,29,10,15,0,8,0,0,0,6.9,10.3,0.67,0.305,0.378,1.74
444,85,장태수,삼성,1,4,0,15,5,37.7,1.67,5.73,0.96,0.272,60.60,5.97,-0.85,5.61,5.42,-0.62,1988,2251,0,0,175,41,4,29,25,7,24,1,0,0,0,0,4.0,13.7,0.29,0.285,0.380,1.73
445,86,박동경,삼성,0,1,0,13,4,39.3,1.83,5.95,0.92,0.321,72.40,5.03,-0.38,5.88,5.71,-0.77,1988,1829,0,0,178,47,4,25,22,8,26,0,3,2,0,0,4.5,14.6,0.31,0.324,0.424,1.86
446,87,전용권,삼성,2,2,1,14,5,46.0,1.57,4.30,1.17,0.280,71.80,5.09,-0.31,5.71,5.49,-0.81,1988,2260,0,0,209,53,6,28,26,8,22,1,3,1,0,0,3.8,10.5,0.36,0.293,0.368,1.63
447,88,황태환,OB,0,2,0,23,3,49.7,1.99,3.81,1.27,0.285,59.80,6.52,-1.21,5.47,5.30,-0.84,1988,2472,1,0,221,58,7,38,36,11,21,0,1,0,0,0,5.0,9.5,0.52,0.299,0.362,1.59
448,89,최상주,해태,0,2,0,7,2,18.0,3.00,2.50,4.00,0.206,47.30,7.50,-0.87,8.46,8.36,-0.89,1988,2369,0,0,85,21,8,19,15,6,5,1,0,1,0,0,7.1,5.9,1.20,0.276,0.317,1.44
449,90,한용덕,빙그레,2,1,0,12,4,41.3,3.48,4.57,1.96,0.254,94.90,3.05,0.79,6.18,6.16,-0.93,1988,2444,0,0,168,39,9,15,14,16,21,0,0,1,0,0,9.5,12.5,0.76,0.273,0.366,1.45
450,91,박상열,OB,0,3,0,13,6,46.7,2.31,4.44,1.74,0.270,68.20,5.59,-0.79,6.45,6.31,-1.13,1988,1841,0,0,216,53,9,34,29,12,23,0,4,1,0,0,5.6,10.6,0.52,0.291,0.367,1.63
451,92,정삼흠,MBC,5,16,0,27,20,139.7,2.77,3.93,1.29,0.297,67.60,5.67,-1.36,5.49,5.39,-1.39,1988,2278,6,1,634,163,20,96,88,43,61,2,14,0,0,0,6.8,9.6,0.70,0.304,0.370,1.60
